file,cluster
05-067-07846_2445077__2854358___2012-01-13.tif,2
05-067-08006_2521126__2534868___2010-05-21.tif,0
05-067-08005_401010897__3633965___2015-06-25.tif,0
05-067-06156_401194523__4054513___2017-01-17.tif,0
05-067-06758_400997968__3611506___2015-05-18.tif,1
05-067-08799_17777809__2048158___2007-11-21.tif,1
05-071-08559_400815338__3515102___2014-12-22.tif,1
05-067-08840_1793155__2057120___2007-06-20.tif,2
05-071-07419_2448101__2882139___2012-02-24.tif,1
05-067-09634_2221687__2845197___2011-09-12.tif,2
05-067-05267_17777765__2047904___2008-05-22.tif,0
05-067-06331_401117766__3900521___2016-06-29.tif,1
05-067-07357_1793399__2050395___2007-07-25.tif,2
05-067-07882_17777433__2038781___2007-12-10.tif,0
05-067-06238_1149137__1483515___1999-07-26.tif,0
05-071-08120_2524621__2669148___2010-11-05.tif,1
05-067-09294_401125936__3962666___2016-09-22.tif,0
05-007-06246_2524781__2671868___2010-10-20.tif,1
05-067-09958_401184148__3877288___2016-06-03.tif,1
05-067-05144_400843520__3588910___2015-04-13.tif,1
05-071-07245_400714021__3436193___2014-08-07.tif,1
05-007-06095_2222027__2853138___2011-12-12.tif,0
05-067-05798_1332002__239549___2001-11-03.tif,0
05-067-08526_1631224__2202441___2009-11-25.tif,2
05-067-06389_401190550__4054659___2017-01-17.tif,0
05-067-08495_2221649__2845159___2011-09-22.tif,1
05-071-09311_400771093__3501135___2014-08-19.tif,1
05-067-07540_2215447__2764125___2011-08-19.tif,1
05-067-06289_400730506__3473615___2014-11-03.tif,0
05-067-09216_401009025__3626545___2015-06-15.tif,0
05-067-06704_1793948__2056579___2007-05-14.tif,2
05-067-06258_17777603__2044112___2008-06-30.tif,0
05-067-08947_17777371__2038840___2007-12-10.tif,0
05-067-08291_401122344__3900557___2016-06-29.tif,1
05-071-06329_2448071__2882110___2012-01-06.tif,1
05-067-08934_1794207__2056510___2007-05-11.tif,2
05-067-08318_1331997__942343___2001-12-05.tif,1
05-067-08981_1793166__2057111___2007-06-20.tif,2
05-067-07176_400952155__3611724___2015-05-18.tif,1
05-071-08269_400757865__3483780___2014-08-12.tif,1
05-067-08795_401197860__3948981___2016-09-06.tif,0
05-067-07484_1793441__2050361___2007-08-09.tif,2
05-067-08133_17777654__2048133___2008-06-02.tif,0
05-071-06720_2524664__2669907___2010-11-16.tif,1
05-067-08955_1793133__2050239___2007-06-01.tif,2
05-067-06282_401040123__3843943___2016-04-25.tif,0
05-067-09630_1701634__2040555___2009-04-06.tif,2
05-071-08312_400767890__3412241___2014-08-07.tif,1
05-067-07902_2222623__2867836___2011-11-14.tif,0
05-067-07507_2209498__3684719___2015-09-21.tif,0
05-071-08438_400726969__3475617___2014-08-06.tif,1
05-071-06807_400762469__3405238___2014-08-07.tif,1
05-067-08503_2222603__2867816___2011-11-14.tif,0
05-067-08678_400949043__3626001___2015-06-11.tif,1
05-067-05402_17777416__2038798___2007-12-10.tif,0
05-067-09314_400931991__3660578___2015-08-10.tif,0
05-067-07111_1149158__258365___1999-07-26.tif,0
05-067-07317_401114016__3932624___2016-08-18.tif,2
05-071-08774_400735219__3486115___2014-08-12.tif,1
05-007-06202_2221078__2822979___2011-11-16.tif,1
05-067-08222_401010588__3639391___2015-07-08.tif,0
05-067-05336_2524905__2672657___2010-10-28.tif,0
05-071-07461_400779486__3414673___2014-08-08.tif,1
05-067-09271_400772113__3459528___2011-04-18.tif,0
05-071-08314_400823466__3516186___2014-11-04.tif,1
05-067-09423_1701538__2040554___2009-04-03.tif,2
05-067-09158_2222594__2867807___2011-11-14.tif,0
05-067-06712_894405__392746___1999-12-01.tif,1
05-067-06389_1794508__2061680___2009-06-03.tif,0
05-067-07860_400914863__3663206___2015-08-14.tif,1
05-071-07473_1629538__2162392___2009-07-22.tif,1
05-067-07739_2222304__2860657___2011-11-16.tif,0
05-067-08287_400950343__3730148___2015-11-24.tif,1
05-067-07351_1793363__2050431___2007-07-25.tif,2
05-071-09525_2447882__2876303___2012-01-27.tif,1
05-067-06986_2541113__2794416___2011-07-22.tif,2
05-071-08272_2110901__2665278___2010-12-02.tif,1
05-067-08352_1332036__706515___2002-06-19.tif,1
05-067-06759_558222__802716___1994-05-17.tif,1
05-067-05173_2222323__2860676___2011-11-16.tif,0
05-071-06853_2169900__2953868___2012-07-13.tif,1
05-067-09192_401001544__3626592___2015-06-15.tif,0
05-071-09165_400847266__3464232___2014-10-22.tif,1
05-067-06057_1173025__330265___2001-11-05.tif,2
05-067-06571_400937373__3641317___2015-07-09.tif,1
05-071-09303_400815320__3515118___2014-12-22.tif,1
05-067-07332_1631225__2202440___2009-11-25.tif,2
05-067-05014_400818867__3277400___2010-09-22.tif,0
05-071-08890_2514740__2935315___2012-06-08.tif,1
05-067-07357_1331470__243372___1999-08-02.tif,0
05-071-08929_2524831__2671918___2010-10-22.tif,1
05-071-09182_400761988__3413295___2014-08-07.tif,1
05-071-09355_400824319__3512678___2014-09-16.tif,1
05-067-06475_17778273__2050755___2007-09-07.tif,0
05-067-06657_400941519__3626151___2015-06-11.tif,1
05-067-08379_400909185__3663069___2015-08-14.tif,1
05-067-08681_1793746__2056649___2009-05-14.tif,2
05-067-06904_400949979__3730103___2015-11-24.tif,0
05-067-05121_401009108__3742906___2015-12-14.tif,0
05-071-08514_1629739__2164502___2009-08-17.tif,1
05-067-09334_400942122__3626135___2015-06-11.tif,1
05-067-06957_1794371__2061829___2007-04-09.tif,2
05-067-08755_401004760__3628123___2015-06-17.tif,0
05-071-07130_400737087__3486127___2014-08-12.tif,1
05-067-06807_17777691__2048100___2008-05-27.tif,0
05-067-08379_2510382__2532951___2009-08-27.tif,2
05-067-05045_17777611__2044107___2008-06-30.tif,0
05-067-09093_401171612__3894223___2016-06-27.tif,1
05-067-08708_2541065__2794339___2011-08-12.tif,2
05-067-06726_400952395__3611716___2015-05-18.tif,1
05-067-09796_401184261__3877296___2016-06-03.tif,1
05-071-08310_2448099__2882137___2012-02-24.tif,1
05-067-08656_1794284__2061969___2007-04-20.tif,2
05-067-07297_1630540__2188622___2009-10-30.tif,2
05-067-06822_2447239__2862501___2011-11-16.tif,0
05-067-07185_1794259__2056457___2007-04-20.tif,2
05-067-08070_400931994__3660576___2015-08-10.tif,0
05-067-07386_401110827__3932341___2016-08-18.tif,2
05-067-07235_400950050__3730117___2015-11-24.tif,0
05-067-07305_400957092__3611691___2015-05-18.tif,1
05-067-05086_400815697__3420886___2014-08-07.tif,0
05-067-06237_401124751__3900565___2016-06-29.tif,1
05-067-09372_2222576__2867789___2011-11-14.tif,0
05-071-08337_400737089__3486129___2014-08-12.tif,1
05-067-07292_1793471__2050331___2007-08-06.tif,2
05-067-09833_2169923__2953895___2012-07-13.tif,1
05-067-06611_400827047__3569299___2015-03-12.tif,1
05-071-08722_1629823__2164157___2009-08-21.tif,1
05-067-07262_2222574__2867787___2011-11-14.tif,0
05-067-08669_401117866__3900393___2016-06-29.tif,1
